,developer,score0,img_link,date,pos,console,link,publisher,score1,score2,name,label
10183,Capcom,N/A,http://www.vgchartz.com//games/boxart/1455581ccc.jpg,30th Apr 99,2182,PS,http://www.vgchartz.com//games/game.php?id=5778&region=All,Capcom,8.4,N/A,Street Fighter Alpha 3-:-PS,1.0
10184,PawaPuro Production,N/A,http://www.vgchartz.com//games/boxart/full_189030JapanFrontccc.jpg,15th Dec 05,16292,GC,http://www.vgchartz.com//games/game.php?id=4058&region=All,Konami,N/A,N/A,Jikkyou Powerful Pro Yakyuu 12 Ketteiban-:-GC,0.02
10185,Kalisto Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_7778488AmericaFrontccc.jpg,29th Apr 00,8896,PS,http://www.vgchartz.com//games/game.php?id=24466&region=All,Konami,N/A,N/A,Nightmare Creatures II-:-PS,0.17
10186,Loose Cannon Studios,N/A,http://www.vgchartz.com//games/boxart/full_8931339AmericaFrontccc.jpg,29th Sep 09,11805,PS3,http://www.vgchartz.com//games/game.php?id=36285&region=All,Konami,N/A,N/A,Tornado Outbreak-:-PS3,0.09
10187,Mad Doc Software,N/A,http://www.vgchartz.com//games/boxart/full_9434904AmericaFrontccc.jpg,05th Dec 06,17422,PC,http://www.vgchartz.com//games/game.php?id=24266&region=All,Bethesda Softworks,5.3,N/A,Star Trek: Legacy-:-PC,0.02
10188,EA Canada,N/A,http://www.vgchartz.com//games/boxart/full_fifa-soccer-12_431AmericaFront.jpg,27th Sep 11,2892,Wii,http://www.vgchartz.com//games/game.php?id=50886&region=All,EA Sports,N/A,N/A,FIFA Soccer 12-:-Wii,0.76
10189,FuRyu Corporation,N/A,http://www.vgchartz.com//games/boxart/full_tsuku-monogatari_502JapanFront.jpg,27th Jan 11,15949,PSP,http://www.vgchartz.com//games/game.php?id=47446&region=All,FuRyu Corporation,N/A,N/A,Tsuku Monogatari-:-PSP,0.03
10190,Arkedo Studio,N/A,http://www.vgchartz.com//games/boxart/full_4025078AmericaFrontccc.jpg,21st Jan 09,13424,DS,http://www.vgchartz.com//games/game.php?id=28673&region=All,SouthPeak Interactive,8.0,7.6,Big Bang Mini-:-DS,0.06
10191,XXV Productions,N/A,http://www.vgchartz.com//games/boxart/full_dark-fall-lights-out-the-directors-cut-edition_726PALFront.jpg,11th Dec 09,19482,PC,http://www.vgchartz.com//games/game.php?id=50150&region=All,Iceberg Interactive,N/A,N/A,Dark Fall: Lights Out - The Director's Cut Edition-:-PC,0.01
10192,Valve Software,N/A,http://www.vgchartz.com//games/boxart/full_9030886AmericaFrontccc.jpg,16th Nov 04,12168,PC,http://www.vgchartz.com//games/game.php?id=12531&region=All,VU Games,9.3,N/A,Counter-Strike: Source-:-PC,15.0
10193,Hudson Soft,N/A,http://www.vgchartz.com//games/boxart/full_mezase-tsuri-master-ds_10JapanFront.jpg,23rd Apr 09,18187,DS,http://www.vgchartz.com//games/game.php?id=34135&region=All,Hudson Soft,N/A,N/A,Mezase!! Tsuri Master DS-:-DS,0.01
10194,Traveller's Tales,N/A,http://www.vgchartz.com//games/boxart/full_lego-harry-potter-years-1-4_4AmericaFront.jpg,29th Jun 10,1272,X360,http://www.vgchartz.com//games/game.php?id=35010&region=All,Warner Bros. Interactive,7.9,N/A,LEGO Harry Potter: Years 1-4-:-X360,1.59
10195,Team Ninja,N/A,http://www.vgchartz.com//games/boxart/2292432ccc.jpg,31st Mar 98,6594,PS,http://www.vgchartz.com//games/game.php?id=3056&region=All,Tecmo,8.3,N/A,Dead or Alive-:-PS,0.28
10196,Sega,N/A,http://www.vgchartz.com//games/boxart/full_962916JapanFrontccc.jpg,28th May 09,15771,DS,http://www.vgchartz.com//games/game.php?id=33457&region=All,Sega,N/A,N/A,Suzumiya Haruhi no Chokuretsu-:-DS,0.03
10197,Traveller's Tales / Heavy Iron Studios,N/A,http://www.vgchartz.com//games/boxart/full_9835827PALFrontccc.jpg,30th Jan 06,4989,XB,http://www.vgchartz.com//games/game.php?id=33643&region=All,THQ,N/A,N/A,Double Pack: Finding Nemo / The Incredibles-:-XB,0.42
10198,PUBG Corporation,N/A,http://www.vgchartz.com//games/boxart/full_8126502AmericaFrontccc.jpg,12th Dec 17,840,XOne,http://www.vgchartz.com//games/game.php?id=215989&region=All,Microsoft Studios,N/A,N/A,PlayerUnknown's Battlegrounds-:-XOne,2.17
10199,Aqua Plus,N/A,http://www.vgchartz.com//games/boxart/full_2340735JapanFrontccc.jpg,23rd May 17,10771,PSV,http://www.vgchartz.com//games/game.php?id=85951&region=All,Atlus,N/A,N/A,Utawarerumono: Mask of Deception-:-PSV,0.11
10200,Monolith Productions,N/A,http://www.vgchartz.com//games/boxart/full_720495AmericaFrontccc.jpg,30th Sep 14,479,PS4,http://www.vgchartz.com//games/game.php?id=77129&region=All,Warner Bros. Interactive Entertainment,N/A,N/A,Middle-Earth: Shadow of Mordor-:-PS4,3.19
10201,DreamCatcher Interactive,N/A,http://www.vgchartz.com//games/boxart/default.jpg,22nd Dec 09,9959,DS,http://www.vgchartz.com//games/game.php?id=39176&region=All,DreamCatcher Interactive,N/A,N/A,Learn Math-:-DS,0.13
10202,Direct Action Games,N/A,http://www.vgchartz.com//games/boxart/7889199ccc.gif,21st Jul 06,18623,XB,http://www.vgchartz.com//games/game.php?id=2718&region=All,Groove Games,N/A,N/A,World War II Combat: Iwo Jima-:-XB,0.01
10203,Konami,N/A,http://www.vgchartz.com//games/boxart/full_6106742JapanFrontccc.jpg,12th Jul 07,16257,DS,http://www.vgchartz.com//games/game.php?id=7050&region=All,Konami,N/A,N/A,DEATH NOTE: L o Tsugu Mono-:-DS,0.02
10204,989 Sports,N/A,http://www.vgchartz.com//games/boxart/7058744ccc.jpg,18th Dec 00,9348,PS2,http://www.vgchartz.com//games/game.php?id=23674&region=All,Sony Computer Entertainment,N/A,N/A,NCAA GameBreaker 2001-:-PS2,0.15
10205,Sonic Team,N/A,http://www.vgchartz.com//games/boxart/8754401ccc.png,18th Jun 01,10536,DC,http://www.vgchartz.com//games/game.php?id=4342&region=All,Sega,8.9,N/A,Sonic Adventure 2-:-DC,0.12
10206,Ubisoft Montreal,N/A,http://www.vgchartz.com//games/boxart/full_8549576AmericaFrontccc.jpg,01st Dec 15,6258,PC,http://www.vgchartz.com//games/game.php?id=82934&region=All,Ubisoft,N/A,N/A,Tom Clancy's Rainbow Six: Siege-:-PC,0.3
10207,Giants Software,N/A,http://www.vgchartz.com//games/boxart/full_8163979AmericaFrontccc.jpg,19th May 15,5038,PS4,http://www.vgchartz.com//games/game.php?id=83764&region=All,Focus Home Interactive,N/A,N/A,Farming Simulator 2015-:-PS4,0.41
10208,Ensemble Studios,N/A,http://www.vgchartz.com//games/boxart/full_age-of-mythology_534AmericaFront.jpg,01st Nov 02,12089,PC,http://www.vgchartz.com//games/game.php?id=7219&region=All,Microsoft Game Studios,8.8,N/A,Age of Mythology-:-PC,1.37
10209,Sega,N/A,http://www.vgchartz.com//games/boxart/full_k-on-houkago-live_7JapanFront.jpg,30th Sep 10,7082,PSP,http://www.vgchartz.com//games/game.php?id=45447&region=All,Sega,N/A,N/A,K-ON! Houkago Live!!-:-PSP,0.21
